bill 201811011422;
광어초밥4p 1 5000;
청어알초밥2p 1 4000;
연어초밥2p 1 5000;
bill 201811011642;
광어초밥4p 3 5000;
bill 201811021042;
광어지느러미초밥2p 1 4000;
광어초밥2p 1 3000;
bill 201811021243;
회덮밥 1 8000;
지라시덮밥 2 10000;
bill 201811021943;
도미회 1 25000;
한치초밥2p 1 4000;
참치대뱃살 4 50000;
bill 201811031901;
광어초밥4p 1 5000;
계란초밥2p 1 3000;
청어알초밥2p 1 4000;
bill 201811032001;
광어회덮밥 1 12000;
회덮밥 1 8000;
가츠오우동 1 6000;
튀김우동 1 6000;
bill 201811032201;
특선초밥10p 2 15000;
모듬초밥10p 2 10000;
bill 201811041132;
광어초밥4p 1 5000;
연어초밥8p 1 18000;
bill 201811041349;
연어초밥8p 3 18000;
참치회덮밥 1 12000;
스테이크덮밥 1 10000;
bill 201811042049;
연어초밥8p 1 18000;
광어초밥4p 1 5000;
bill 201811042158;
광어초밥4p 1 5000;
엔가와초밥2p 1 4000;
계란초밥2p 1 3000;
튀김우동 1 6000;
사이다 1 1500;
bill 201811051258;
광어초밥4p 1 5000;
청어알초밥2p 1 4000;
연어초밥2p 1 5000;
bill 201811051659;
엔가와초밥2p 1 4000;
bill 201811051859;
광어회덮밥 1 12000;
회덮밥 1 8000;
지라시덮밥 1 10000;
스테이크덮밥 1 10000;
bill 201811051959;
특선초밥10p 1 15000;
엔가와초밥2p 1 4000;
한치초밥2p 1 4000;
연어회 1 25000;
대방어회 1 50000;
회덮밥 1 8000;
알밥 1 6000;
참이슬 1 3500;
마쯔리텐구900ml 1 35000;
bill 201811052059;
엔가와초밥2p 1 4000;
한치초밥2p 1 4000;
청어알초밥2p 1 4000;
단새우초밥2p 1 4000;
bill 201811060059;
특선초밥10p 1 15000;
엔가와초밥2p 1 4000;
청어알초밥2p 1 4000;
사이다 1 1500;
bill 201811061359;
웰치스 1 1500;
사이다 1 1500;
센노유메900ml 1 30000;
특모듬초밥12p 1 25000;
bill 201811061659;
연어초밥8p 1 18000;
광어회덮밥 1 12000;
bill 201811071059;
특선초밥10p 2 15000;
연어회 1 25000;
도미회 1 25000;
참치대뱃살 1 50000;
센노유메900ml 1 30000;
bill 201811071859;
마쯔리텐구900ml 1 35000;
활어회모듬대 1 40000;
광어회 1 25000;
광어초밥2p 1 3000;
bill 201811071959;
특모듬초밥12p 2 25000;
알밥 1 6000;
연어회덮밥 1 10000;
튀김우동 1 6000;
엔가와초밥2p 1 4000;
마쯔리텐구900ml 1 35000;
bill 201811080959;
마루준마이900ml 1 45000;
모듬초밥10p 1 10000;
연어알초밥2p 1 5000;
연어초밥2p 1 5000;
bill 201811081459;
광어초밥4p 2 5000;
광어회 1 25000;
bill 201811081659;
특선초밥10p 1 15000;
전어초밥2p 1 4000;
고등어초밥2p 1 3000;
도미회 1 25000;
참이슬 1 3500;
처음처럼 1 3500;
청하 1 4000;
bill 201811091059;
기린 2 6500;
특모듬초밥12p 1 25000;
특선초밥10p 1 15000;
참치대뱃살 1 50000;
센노유메900ml 1 30000;
bill 201811091659;
엔가와초밥2p 1 4000;
스테이크덮밥 1 10000;
튀김우동 1 6000;
가츠오우동 1 6000;
모듬튀김 1 10000;
밥추가 2 1000;
bill 201811101159;
모듬초밥10p 1 10000;
특선초밥10p 1 15000;
특모듬초밥12p 1 25000;
연어회 1 25000;
참치대뱃살 1 50000;
활어회모듬대 1 40000;
참치중뱃살 1 30000;
계란초밥2p 1 3000;
전어초밥2p 1 4000;
간장새우초밥2p 1 4000;
참이슬 1 3500;
처음처럼 1 3500;
아사히 2 6500;
기네스 1 6500;
bill 201811101707;
광어초밥4p 1 5000;
연어초밥4p 1 7000;
엔가와초밥2p 1 4000;
센노유메900ml 1 30000;
bill 201811101807;
엔가와초밥2p 1 4000;
단새우초밥2p 1 4000;
연어초밥2p 1 5000;
참치중뱃살초밥2p 1 8000;
콜라 1 1500;
센노유메900ml 1 30000;
bill 201811111107;
참치대뱃살초밥2p 4 12000;
bill 201811111707;
연어초밥4p 1 7000;
특모듬초밥12p 2 25000;
엔가와초밥2p 1 4000;
오징어초밥2p 1 4000;
bill 201811112307;
활어회모듬대 1 40000;
지라시덮밥 1 10000;
매화수 1 4000;
탄레이준마이900ml 1 40000;
bill 201811121207;
연어회 1 25000;
대방어회 1 50000;
튀김우동 1 6000;
한치초밥2p 1 4000;
오징어초밥2p 1 4000;
소고기초밥2p 1 4000;
bill 201811121607;
특선초밥10p 1 15000;
특모듬초밥12p 1 25000;
계란초밥2p 1 3000;
연어초밥2p 1 5000;
대방어초밥2p 1 5000;
bill 201811121907;
연어회 1 25000;
도미회 1 25000;
참치대뱃살초밥2p 1 12000;
장어초밥2p 1 6000;
문어초밥2p 1 6000;
센노유메900ml 1 30000;
bill 201811122207;
고등어초밥2p 1 3000;
참치회덮밥 1 12000;
스테이크덮밥 1 10000;
참이슬 1 3500;
클라우드 1 4000;
기린 1 6500;
bill 201811131107;
참이슬 1 3500;
카스 2 3500;
하이트 2 3500;
광어초밥4p 3 5000;
연어초밥4p 3 7000;
간바레오또상900ml 1 35000;
bill 201811131507;
특모듬초밥12p 2 25000;
참이슬 6 3500;
bill 201811131807;
연어회 1 25000;
대방어회 1 50000;
활어회모듬소 1 25000;
황새치뱃살 1 30000;
문어초밥2p 1 6000;
성게초밥2p 1 10000;
bill 201811141507;
특선초밥10p 1 15000;
모듬초밥10p 1 10000;
